"scheme","PC","PC_pve","Species","Timepoint","Species:Timepoint","Residual"
"Raw","PC1",97.8225198007183,0.378872648504911,0.3285103112669,0.288269068381134,0.00434797184705512
"Raw","PC2",0.696278510475378,0.717522312131242,0.136449259791183,0.145289029510407,0.000739398567167231
"Raw","PC3",0.421644076689507,0.596855124683823,0.196981328297446,0.204981626963841,0.00118192005489059
"Raw","PC4",0.331572326136075,0.633211432075917,0.286006375582571,0.080526812355809,0.000255379985703097
"Raw","PC5",0.2244771469742,0.876139080135877,0.0333939672879425,0.0899536971113518,0.00051325546482821
"Center only","PC1",47.007395671823,0.0130158778525094,0.539505558997482,0.44577347310955,0.00170509004045945
"Center only","PC2",17.8422130438606,0.00282855967931759,0.677956515661295,0.318330668943779,0.00088425571560902
"Center only","PC3",6.76049570466423,0.00284630173217645,0.166330137683296,0.829084959196356,0.00173860138817103
"Center only","PC4",5.69322345060218,0.000113094067817571,0.065734630449286,0.930663446498708,0.00348882898418863
"Center only","PC5",3.5333191177559,0.000811878814321192,0.24779317483969,0.750326944407642,0.00106800193834688
"Z-score","PC1",29.5590829157982,0.0127530060782246,0.600006813386623,0.384959523307671,0.00228065722748113
"Z-score","PC2",15.6066510555249,0.000384066327678262,0.652994171225259,0.344153409270631,0.00246835317643106
"Z-score","PC3",7.60611230950693,0.00617483784593483,0.290499971829746,0.697047615217922,0.00627757510639734
"Z-score","PC4",6.66507777044855,8.5473924547505e-05,0.0983270521122597,0.888243821509655,0.0133436524535382
"Z-score","PC5",4.65776412828862,0.000975271254831088,0.0886441568281286,0.907916625614621,0.0024639463024195
