"Sample","Species","Timepoint","Replicate"
"CgB41","C. glabrata","0min",1
"CgB44","C. glabrata","0min",2
"Cg15m1","C. glabrata","15min",1
"Cg15m2","C. glabrata","15min",2
"Cg30m1","C. glabrata","30min",1
"Cg30m2","C. glabrata","30min",2
"Cg45m1","C. glabrata","45min",1
"Cg45m2","C. glabrata","45min",2
"Cg1h1","C. glabrata","1h",1
"Cg1h2","C. glabrata","1h",2
"Cg1.5h1","C. glabrata","1.5h",1
"Cg1.5h2","C. glabrata","1.5h",2
"Cg2h1","C. glabrata","2h",1
"Cg2h2","C. glabrata","2h",2
"Cg3h1","C. glabrata","3h",1
"Cg3h2","C. glabrata","3h",2
"Cg4h1","C. glabrata","4h",1
"Cg4h2","C. glabrata","4h",2
"Cg6h1","C. glabrata","6h",1
"Cg6h2","C. glabrata","6h",2
"Cg8h1","C. glabrata","8h",1
"Cg8h2","C. glabrata","8h",2
"ScB42","S. cerevisiae","0min",1
"ScB43","S. cerevisiae","0min",2
"Sc30m2","S. cerevisiae","30min",1
"Sc30m4","S. cerevisiae","30min",2
"Sc1h2","S. cerevisiae","1h",1
"Sc1h4","S. cerevisiae","1h",2
"Sc1.5h2","S. cerevisiae","1.5h",1
"Sc1.5h4","S. cerevisiae","1.5h",2
"Sc2h2","S. cerevisiae","2h",1
"Sc2h4","S. cerevisiae","2h",2
"Sc2.5h2","S. cerevisiae","2.5h",1
"Sc2.5h4","S. cerevisiae","2.5h",2
"Sc3h2","S. cerevisiae","3h",1
"Sc3h4","S. cerevisiae","3h",2
"Sc3.5h2","S. cerevisiae","3.5h",1
"Sc3.5h4","S. cerevisiae","3.5h",2
"Sc4h2","S. cerevisiae","4h",1
"Sc4h4","S. cerevisiae","4h",2
"Sc6h2","S. cerevisiae","6h",1
"Sc6h4","S. cerevisiae","6h",2
"Sc8h2","S. cerevisiae","8h",1
"Sc8h4","S. cerevisiae","8h",2
"KlB41","K. lactis","0min",1
"KlB42","K. lactis","0min",2
"Kl15m3","K. lactis","15min",1
"Kl15m4","K. lactis","15min",2
"Kl30m3","K. lactis","30min",1
"Kl30m4","K. lactis","30min",2
"Kl45m3","K. lactis","45min",1
"Kl45m4","K. lactis","45min",2
"Kl1h3","K. lactis","1h",1
"Kl1h4","K. lactis","1h",2
"Kl1.5h3","K. lactis","1.5h",1
"Kl1.5h4","K. lactis","1.5h",2
"Kl2h4","K. lactis","2h",1
"Kl2.5h1","K. lactis","2.5h",1
"Kl2.5h2","K. lactis","2.5h",2
"Kl3h3","K. lactis","3h",1
"Kl3h4","K. lactis","3h",2
"Kl3.5h3","K. lactis","3.5h",1
"Kl3.5h4","K. lactis","3.5h",2
"Kl4h3","K. lactis","4h",1
"Kl4h4","K. lactis","4h",2
"Kl6h3","K. lactis","6h",1
"Kl6h4","K. lactis","6h",2
"Kl8h3","K. lactis","8h",1
"Kl8h4","K. lactis","8h",2
"CaB41","C. albicans","0min",1
"CaB44","C. albicans","0min",2
"Ca15m1","C. albicans","15min",1
"Ca15m2","C. albicans","15min",2
"Ca30m1","C. albicans","30min",1
"Ca30m2","C. albicans","30min",2
"Ca45m1","C. albicans","45min",1
"Ca45m2","C. albicans","45min",2
"Ca1h1","C. albicans","1h",1
"Ca1h2","C. albicans","1h",2
"Ca1.5h1","C. albicans","1.5h",1
"Ca1.5h2","C. albicans","1.5h",2
"Ca2h1","C. albicans","2h",1
"Ca2h4","C. albicans","2h",2
"Ca2.5h1","C. albicans","2.5h",1
"Ca2.5h4","C. albicans","2.5h",2
"Ca3h1","C. albicans","3h",1
"Ca3h2","C. albicans","3h",2
"Ca3.5h1","C. albicans","3.5h",1
"Ca3.5h4","C. albicans","3.5h",2
"Ca4h1","C. albicans","4h",1
"Ca4h3","C. albicans","4h",2
"Ca6h1","C. albicans","6h",1
"Ca6h3","C. albicans","6h",2
"Ca8h1","C. albicans","8h",1
"Ca8h2","C. albicans","8h",2
