gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
orf19.655,0.9859567765785203,PHO84,1,100,0.004
orf19.3419,0.9665678832855461,MAE1,2,99.9,0
orf19.3665,0.9614802165677918,SET6,3,99.8,0
orf19.6824,0.951471310103582,,4,99.8,0.001
orf19.1971,0.9484415224507713,,5,99.8,0
orf19.1979,0.9442366740048893,,6,99.8,0.001
orf19.2995,0.9390232469149855,,7,99.8,0
orf19.527,0.9336992788656122,,8,99.7,0.01
orf19.2630,0.9203588761671463,RAD59,9,99.7,0
orf19.679,0.9149808401513613,,10,99.7,0
orf19.7231,0.9145766595480551,FTR2,11,99.7,0.027
orf19.6938,0.9089461496038692,MEU1,12,99.6,0
orf19.5521,0.9032484290942259,ISA1,13,99.6,0.003
orf19.4611,0.8951310521518232,,14,99.5,0
orf19.4743,0.8930410125701573,,15,99.5,0.045
orf19.4448,0.8918778889950697,SOG2,16,99.5,0.02
orf19.941,0.8909321398970358,,17,99.5,0.025
orf19.1486,0.8827320037765485,,18,99.5,0
orf19.287,0.875776382590628,,19,99.4,0
orf19.5362,0.8754803874993082,,20,99.4,0.015
