gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
KLLA0F11275g,0.8992292105349486,SSP2,1,100,0
KLLA0F15862g,0.895875702139794,FUN26,2,99.9,0.011
KLLA0F13288g,0.8871874711681498,CCC1,3,99.9,0.029
KLLA0E23145g,0.87891593543788,RGL1,4,99.9,0
KDROC02880,0.864548737180857,PHO84,5,99.9,0.002
KLLA0A03883g,0.8642907625618607,SNC1,6,99.9,0
KLLA0E07657g,0.8618649394842391,MSS1,7,99.9,0.015
KLLA0C16203g,0.8580013683277429,,8,99.9,0
KLLA0C06094g,0.8547359873432349,MIX17,9,99.9,0
KLLA0F22451g,0.8495263361532136,,10,99.9,0
KLLA0B11407g,0.8428618138329409,CTR1,11,99.9,0.002
KLLA0A08019g,0.8416428777310787,PRP39,12,99.9,0.013
KLLA0B04609g,0.840459664458908,BET5,13,99.8,0.007
KLLA0C09416g,0.8397579470630999,,14,99.7,0
KLLA0E19889g,0.8394757662011425,,15,99.7,0
KLLA0C00891g,0.8393147008493507,KRE28,16,99.6,0.043
KLLA0B11033g,0.8376604591829879,MEP1,17,99.6,0.025
KLLA0C00616g,0.837259420387258,,18,99.6,0.001
KLLA0F23507g,0.8371528775635482,MEK1,19,99.6,0.004
KLLA0D01067g,0.8358190137505105,,20,99.5,0
