gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
YDL246C,0.9817495824435807,SOR2,1,100,0.016
YKL052C,0.922954508094875,ASK1,2,100,0.005
YLR109W,0.9148691432456055,AHP1,3,100,0.028
YFL014W,0.9016581660299585,HSP12,4,100,0.009
YER062C,0.901521357077688,GPP2,5,99.9,0.018
YLR108C,0.9014425564924575,YLR108C,6,99.9,0
YDR214W,0.8922683651143484,AHA1,7,99.9,0.036
YAL005C,0.882496158494277,SSA1,8,99.8,0.012
YPL120W,0.8796155146320338,VPS30,9,99.8,0.07
YDL222C,0.8795512944877875,FMP45,10,99.8,0.033
YPL240C,0.8764946540469504,HSP82,11,99.8,0.026
YML028W,0.8711008269507764,TSA1,12,99.8,0.009
YLR266C,0.8662887496327156,PDR8,13,99.8,0
YMR169C,0.8631780828902357,ALD3,14,99.8,0.033
YLR220W,0.8616938332863124,CCC1,15,99.7,0.061
YGL091C,0.861175584511325,NBP35,16,99.7,0
YMR251W,0.8609606311390088,GTO3,17,99.7,0
YOR020C,0.8591694823935703,HSP10,18,99.7,0.038
YAL046C,0.8584408277757792,BOL3,19,99.7,0.042
YML128C,0.8570509444756412,MSC1,20,99.6,0.038
