gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
orf19.3785,0.9950438163901725,,1,100,0
orf19.5755,0.9915515697575932,PHO80,2,99.9,0
orf19.2681,0.9901056304896536,,3,99.8,0
orf19.1301,0.9825337432243035,,4,99.8,0
orf19.6627,0.9819262089899331,,5,99.8,0
orf19.7016,0.9817498250807185,PHM5,6,99.8,0
orf19.7596,0.9774577137074283,,7,99.8,0
orf19.6037,0.9773142276513638,,8,99.7,0
orf19.4248,0.9759732031973517,,9,99.7,0
orf19.2306,0.9754108662031072,,10,99.7,0
orf19.2439.1,0.9747445092211369,QCR10,11,99.7,0
orf19.1968,0.9740362340025096,,12,99.6,0
orf19.4584,0.9721313414007993,,13,99.6,0
orf19.1557,0.9707334268917304,,14,99.6,0
orf19.656,0.9698206856382825,,15,99.6,0
orf19.4128,0.9697340305728035,,16,99.6,0
orf19.4772,0.9693639306831114,SSU81,17,99.6,0
orf19.5597.1,0.9687862947132111,,18,99.6,0
orf19.4306,0.9673077343531991,,19,99.5,0
orf19.4759,0.9662237768548503,COX5,20,99.5,0
