gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
CAGL0I04972g,0.9968643950424685,,1,100,0
CAGL0I06292g,0.9936434424891799,PEX2,2,100,0
CAGL0K03459g,0.9908507994282041,,3,100,0
CAGL0J08547g,0.9906206916579692,,4,100,0
CAGL0C04939g,0.989954393567935,,5,99.9,0
CAGL0G08019g,0.9881290157875671,,6,99.9,0
CAGL0J04906g,0.9871083066485167,,7,99.9,0
CAGL0E05654g,0.9870487043306023,,8,99.8,0
CAGL0L04686g,0.9860558029626841,,9,99.8,0
CAGL0K04851g,0.9859606076936213,PEX17,10,99.8,0
CAGL0L09229g,0.9858334773849474,,11,99.8,0
CAGL0G05269g,0.9853613247617639,,12,99.7,0
CAGL0H02563g,0.9852355083441816,,13,99.7,0
CAGL0M08734g,0.9847298491154524,,14,99.7,0
CAGL0K00341g,0.9842750696497802,,15,99.6,0
CAGL0E04510g,0.9839655061345809,,16,99.6,0
CAGL0M05995g,0.9837532106265792,,17,99.6,0
CAGL0D05280g,0.9829274668456578,,18,99.6,0
CAGL0E04708g,0.9826634688720407,,19,99.6,0
CAGL0H03663g,0.9823127248759447,,20,99.5,0
