gene_id,pearson_r,gene_name,rank,null_percentile,perm_p_value
KLLA0C02123g,0.9930478064351461,BOR1,1,100,0
KLLA0B06952g,0.9870911090044886,KCS1,2,100,0
KLLA0F24860g,0.9849721757041058,,3,100,0
KLLA0F09427g,0.9836206666369457,,4,100,0
KLLA0E00243g,0.9835829880128123,,5,100,0
KLLA0C03806g,0.9815346648913882,CRT10,6,100,0
KLLA0E20989g,0.9807951747646746,YNL320W,7,100,0
KLLA0D02266g,0.9801167728229955,,8,100,0
KLLA0E23871g,0.9798120295021034,,9,100,0
KLLA0D09669g,0.9788044459281483,YJR012C,10,100,0
KLLA0F00682g,0.9753252792292783,,11,100,0
KLLA0A01760g,0.9752840758507084,YAP1,12,100,0
KLLA0D00638g,0.9750270108705353,PLC1,13,99.9,0
KLLA0C00242g,0.9726473782353042,,14,99.8,0
KLLA0C18909g,0.9725708560196276,,15,99.8,0
KLLA0F27907g,0.9725178476693594,IGO2,16,99.8,0
KLLA0D19492g,0.9702670153479523,GUD1,17,99.8,0
KLLA0C04928g,0.9701524336980302,,18,99.8,0
KLLA0E04709g,0.9701293923529015,YGR126W,19,99.8,0
KLLA0C06358g,0.9700783878275699,GTR1,20,99.7,0
