gene_id,spearman,pearson,gene_name,spearman_rank,pearson_rank
YBR066C,1,0.9541735263466775,NRG2,1,16
YBR093C,1,1,PHO5,2,1
YCR098C,0.990909090909091,0.9594776031010508,GIT1,3,13
YDR017C,0.990909090909091,0.942471869968784,KCS1,4,19
YDR281C,0.990909090909091,0.994131348926352,PHM6,5,3
YER180C,0.990909090909091,0.7665133307182382,ISC10,6,506
YGL079W,0.990909090909091,0.9285601042276517,KXD1,7,25
YHR150W,0.990909090909091,0.8080051802281594,PEX28,8,305
YIL001W,0.990909090909091,0.9183075383340192,YIL001W,9,30
YLR099C,0.990909090909091,0.9098310160093225,ICT1,10,43
YMR211W,0.990909090909091,0.9391108510203053,DML1,11,21
YPL055C,0.990909090909091,0.8848417377686267,LGE1,12,82
YPL110C,0.990909090909091,0.9771034537818879,GDE1,13,6
YBR296C,0.9818181818181819,0.9968772028703226,PHO89,14,2
YEL006W,0.9818181818181819,0.9181346648415785,YEA6,15,31
YER037W,0.9818181818181819,0.9820546328084911,PHM8,16,4
YGL224C,0.9818181818181819,0.9720485310674504,SDT1,17,7
YGL251C,0.9818181818181819,0.8669330578778016,HFM1,18,121
YGR144W,0.9818181818181819,0.653842009088108,THI4,19,1099
YGR233C,0.9818181818181819,0.9204031905322935,PHO81,20,28
