gene_id	gene_name	yH1053.Scer.mock.30m.rep1	yH1053.Scer.mock.30m.rep2	yH1053.Scer.mock.60m.rep1	yH1053.Scer.mock.60m.rep2	yH1053.Scer.noPi.0m.rep1	yH1053.Scer.noPi.0m.rep2	yH1053.Scer.noPi.120m.rep1	yH1053.Scer.noPi.120m.rep2	yH1053.Scer.noPi.15m.rep1	yH1053.Scer.noPi.15m.rep2	yH1053.Scer.noPi.180m.rep1	yH1053.Scer.noPi.180m.rep2	yH1053.Scer.noPi.240m.rep1	yH1053.Scer.noPi.240m.rep2	yH1053.Scer.noPi.30m.rep1	yH1053.Scer.noPi.30m.rep2	yH1053.Scer.noPi.360m.rep1	yH1053.Scer.noPi.360m.rep2	yH1053.Scer.noPi.45m.rep1	yH1053.Scer.noPi.45m.rep2	yH1053.Scer.noPi.480m.rep1	yH1053.Scer.noPi.480m.rep2	yH1053.Scer.noPi.60m.rep1	yH1053.Scer.noPi.60m.rep2	yH1053.Scer.noPi.90m.rep1	yH1053.Scer.noPi.90m.rep2
gene-Q0020	15S_RRNA	12	26	10	11	21	3	25	16	42.192	14.017	31	27	50	25	42	29	40	49	16	14	108	113	28	32	26	5
gene-Q0045	COX1	465.057	581.977	546.861	478.061	338.427	469.872	604.436	417.967	329.154	275.957	963.992	749.348	702.241	569.819	335.761	335.061	1089.589	1051.357	544.098	283.116	1368.445	652.845	412.491	514.104	476.32	543.724
gene-Q0050	AI1	92.302	102.051	73.189	140.076	115.089	138.458	113.057	119.53	126.151	83	158.272	169.233	199.185	186.101	59.056	101	233.143	318.392	117.248	66.063	383.398	253.474	84.127	170.268	105.192	159.177
gene-Q0055	AI2	94.546	233.594	138.442	184.624	117.185	133.525	202.521	103.528	90.71	76.088	287.297	240.897	223.486	177.094	131.121	162.276	336.417	319.704	202.335	153.294	402.98	235.6	147.921	191.616	207.502	128.139
gene-Q0060	AI3	7.128	27.375	19.287	45.682	43.693	19.401	35.387	16.244	38.996	32.551	49.106	28.618	37.39	32.322	13.123	20.257	45.529	59.084	25.287	17.073	63.761	60.361	27.599	36.42	26.399	27.222
gene-Q0065	AI4	118.535	292.373	174.691	300.422	164.646	168.987	239.99	175.227	136.177	93.69	350.552	257.53	276.674	211.182	125.914	189.246	342.031	341.003	240.564	160.856	379.134	176.888	153.044	242.444	223.671	224.802
gene-Q0070	AI5_ALPHA	58.432	137.634	94.527	117.135	111.959	122.757	168.61	99.504	106.246	66.713	165.781	72.376	209.038	107.482	67.325	64.161	206.267	162.46	178.272	53.597	310.379	147.429	83.818	173.148	104.92	149.935
gene-Q0075	AI5_BETA	61	314	135.578	290	209	193	358	240	459.001	174	435	124	411	319	150	151	456	423	321	150	570	439.002	174.204	249	370	282
gene-Q0080	ATP8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene-Q0085	ATP6	4	9	2	4	4	2	7	2	2	3	8	9	7	7	2	3	12	6	3	2	10	11	9	6	8	5
gene-Q0105	COB	3.324	1.464	0	1.06	1.051	1.045	2.318	0	2.193	0	1.035	2.692	7.065	3.893	1.002	1	3.905	6.297	0	3.443	8.875	9.359	3.526	0	1.494	1.039
gene-Q0110	BI2	6.626	4	2.43	7.604	9.682	10.671	10.545	13.737	13.281	14.872	14.746	3.307	16.08	16.818	2.006	1.236	13.4	17.558	12	0	34.242	31.706	3	9	4.378	12.693
gene-Q0115	BI3	1.05	5	2.324	4.252	2.096	3.139	6.764	5.208	10.822	1.029	2.066	1.053	6.32	6.027	0	0	4.608	3.525	1	1	4.106	4.305	1	2	1.141	5.212
gene-Q0120	BI4	0	6.535	2.246	2.085	4.171	4.152	4.373	2.055	11.705	3.099	5.152	5.947	2.535	2.262	1.001	3	20.087	11.526	0	2.557	13.777	17.578	1.474	1	7.986	2.056
gene-Q0130	OLI1	993	765	1326	925	545	981	1442	886	764	524	2152	1525	2601	1394	643	410	4025	3201	891	326	9577	3141	993	909	1097	1120
gene-Q0140	VAR1	14	68	34	52	39	31	96	40	41	35	124	19	128	43	53	32	100	80	73	32	216	79	41	56	69	44
gene-Q0158	21S_RRNA	916.999	1125.75	898.979	1409	838.019	1050.248	1191	1113	1022.993	785	1853.961	1135.979	2140	1550.32	687.006	934	2850	3669	1389	622	6070.014	2859.395	700	1589	1125	1458
gene-Q0160	SCEI	197.202	313	326	321.957	298	575	444.093	368	785.991	357	460.029	282	658	538	244	175.999	672.002	857.899	470	114	1440.001	835.068	254	641	440.062	577.97
gene-Q0250	COX2	2	2	2	1	3	1	3	3	2	2	4	1	1	2	2	0	4	1	0	5	1	3.008	2	2	3	0
gene-Q0255	Q0255	33	12	15	8	4	9	4	8	14	8	13	11	8	14	14.101	13	23.894	6	12	7.998	22	20.148	16	4	9	16
gene-Q0275	COX3	2	2	1	1	1	1	0	0	4	1	1	1	1	0	2	1	0	2	0	1	2.007	4.012	0	2	1	0
gene-Q0285	RPM1	1	2	5	2	0	1	2	2	5	1	2	1	1	2	1	0	1	5	2	0	3	5	3.099	3	1	2
gene-tA(UGC)Q	tA(UGC)Q	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tC(GCA)Q	tC(GCA)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tD(GUC)Q	tD(GUC)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-tE(UUC)Q	tE(UUC)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
gene-tF(GAA)Q	tF(GAA)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
gene-tG(UCC)Q	tG(UCC)Q	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-tH(GUG)Q	tH(GUG)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tI(GAU)Q	tI(GAU)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tK(UUU)Q	tK(UUU)Q	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-tL(UAA)Q	tL(UAA)Q	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-tM(CAU)Q1	tM(CAU)Q1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tM(CAU)Q2	tM(CAU)Q2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tN(GUU)Q	tN(GUU)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
gene-tP(UGG)Q	tP(UGG)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tQ(UUG)Q	tQ(UUG)Q	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tR(ACG)Q2	tR(ACG)Q2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
gene-tR(UCU)Q1	tR(UCU)Q1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tS(GCU)Q1	tS(GCU)Q1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tS(UGA)Q2	tS(UGA)Q2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tT(UAG)Q2	tT(UAG)Q2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tT(UGU)Q1	tT(UGU)Q1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tV(UAC)Q	tV(UAC)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
gene-tW(UCA)Q	tW(UCA)Q	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-tY(GUA)Q	tY(GUA)Q	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-YAL001C	NM_001178148.1	1347.027	817.476	800	859	1018	1025.239	946	1094.094	970.034	825	1274.003	1486.025	1255.163	1333	1025.006	1139	1647	1400	1010	1136	2182	2069.571	1080.001	1053.141	1291.046	1158
gene-YAL002W	NM_001178149.1	1488	988	785	966	803.009	865	885.613	1197	803.061	969	1138.997	1512	1213.787	1260	851	1322.993	2157.445	1674	1104.005	1304	2776.344	3097.214	1095	1092	1051	1180.026
gene-YAL003W	NM_001178150.1	36090	16783	19930	22835	21784	25288	13300.383	19893	23630.934	17889	13586	21166.945	12289	12962	11309	11636	7440	6827	9323	11526.932	5548.992	6404.005	12432	13412	21082	20717
gene-YAL005C	NM_001178151.1	106818.305	60953.496	49700.048	54627.166	5786.986	7563.113	43600.557	66633.69	72619.102	79848.064	50856.551	77626.525	75817.483	89707.531	32163.756	56157.165	76362.176	76767.457	81734.764	94090.172	46486.478	62410.448	66170.37	87385.979	54957.94	70770.861
gene-YAL007C	NM_001178152.1	1707	1100	1294	1361	1819	2098	1152.001	1563	2633	1369	1102	1392	994	1024	1393	1097	429	330	895	1073.012	267	300	1182	1208	2058	1772
gene-YAL008W	NM_001178153.1	1677	779	1006.05	826	594	674	1172.309	1385.89	1389.309	1143	1656	1515	1929	1722	1527	1147	2240	1962	1448	1212	3013	3033	1776	1516	1549	1475
gene-YAL009W	NM_001178154.1	707	424.991	426.49	433	497	533	473	597	829.233	544	604	644	612	565	617.003	483	622	480	498	465	832.215	857.001	630	578	721	660
gene-YAL010C	NM_001178155.2	589	364.937	310	326	298	363	410	480	394.619	523	482	580	394.001	468	493.005	532	394	366.078	406	413	430	339.999	510	467	406.104	540
gene-YAL011W	NM_001178156.1	1080	700	769	870	838.658	836	802	971.835	634.875	634	896	1110	918	865.004	484.936	716	999	964	673	716.872	1379	1464.11	780.789	882	818	917
gene-YAL012W	NM_001178157.1	4950.026	3803	2476	3952	1361.053	2341	996	1946	1160.477	2209.001	672	1394	590	739	964.136	1864	394	406	1409	1648	387	494	1135	1710	1141	2027
gene-YAL013W	NM_001178158.2	1869	676	677	701	742	886	644	891	530.08	962	594	918.011	568	718	668	893	653	685	710	790.043	828.062	901.179	782	752	597	880
gene-YAL014C	NM_001178159.1	1311.992	796.332	564.093	586	557	891	559.716	720	560	737	478	664	513	569	654	766	592.008	617	763	685	828	879.46	632.926	760	464	773
gene-YAL015C	NM_001178160.1	1126.74	567.734	509.604	570.914	426.735	401	511.994	554.985	638.105	632.006	594.045	616.013	580.916	600.184	793.269	779.926	608.529	466.102	726	608	660.449	580.195	778.636	731.198	639.006	710.957
gene-YAL016W	NM_001178161.1	5850	3991	2809	3441	2982.677	3268	2850	3659	4651.702	4935.768	3512.131	4417	3571	3709	4099	5069	4610	3833	3805	4480.993	5479	5769.137	4208	4242	3939	4446
gene-YAL017W	NM_001178162.2	3341	1743.781	1521.539	1317	1332	1292	1837.229	1858	2451.002	2474	2433	2495	2660	2632	2734.812	3238	3887.607	2837.002	3150	2780	4980.001	4400.251	2846.242	2428	2204.815	2201.096
gene-YAL018C	NM_001178163.1	2	0	2	4	0	4	4	2	5.002	0	5	8	10	4	2	3	5	12	0	0	10	14	2	3	7	4
gene-YAL019W	NM_001178164.1	2299	1357.256	1628.494	1727	1370	1309	829.097	930	721.011	585	1126.979	1398	658.677	650.006	659.008	753	425.003	385	543	609	568	442.18	1044	1004	1360.006	1315
gene-YAL020C	NM_001178165.2	1316.697	544	551	684	504.14	569	442.231	737	666	572	429	617	483.001	517	402	503	590	525	516	548	786	1249.99	557.979	574	731	729
gene-YAL021C	NM_001178166.1	1900	1031.874	1214.203	1192	1070.729	1204	863.966	995	476.432	912	1015.009	1395	750	876.093	889	1274.852	696.24	767.384	986.002	1036	802	711.055	1305.001	954	782.252	1135
gene-YAL022C	NM_001178167.1	2807	1500	1229	1395	1208	1477	961	1293	759	1107	942	1392.608	862.018	902	1388	1608.168	518	562.326	1424.029	1482	445	436.367	1573	1650	1053	1495
gene-YAL023C	NM_001178168.1	7810	4501	5524	6573	6233.906	7421	3975	5192	3476.831	4232	3580	5759	2682.999	2877	3202.988	4132	1175	1173	3608.562	4013	921	885.314	4365	4124	4548	6063
gene-YAL024C	NM_001178169.1	435	279.077	402	443	379	364	294.528	403	191.002	302.015	434	561	287	317.054	281.002	406	135	133	239	328.244	142	163.309	330	338	480	468
gene-YAL025C	NM_001178170.2	2081	999	1517	1669	1409	1420	592	835	466	213	954	1100	390	437	208	167	259	253	224	232	205	259.253	629	619	1234	812
