gene_id	gene_name	yH545.Scer.mock.30m.rep1	yH545.Scer.mock.30m.rep2	yH545.Scer.mock.30m.rep3	yH545.Scer.mock.60m.rep1	yH545.Scer.mock.60m.rep2	yH545.Scer.mock.60m.rep3	yH545.Scer.noPi.0m.rep1	yH545.Scer.noPi.0m.rep2	yH545.Scer.noPi.0m.rep3	yH545.Scer.noPi.120m.rep1	yH545.Scer.noPi.120m.rep2	yH545.Scer.noPi.120m.rep3	yH545.Scer.noPi.15m.rep1	yH545.Scer.noPi.15m.rep2	yH545.Scer.noPi.15m.rep3	yH545.Scer.noPi.180m.rep1	yH545.Scer.noPi.180m.rep2	yH545.Scer.noPi.180m.rep3	yH545.Scer.noPi.240m.rep1	yH545.Scer.noPi.240m.rep2	yH545.Scer.noPi.240m.rep3	yH545.Scer.noPi.30m.rep1	yH545.Scer.noPi.30m.rep2	yH545.Scer.noPi.30m.rep3	yH545.Scer.noPi.360m.rep1	yH545.Scer.noPi.360m.rep2	yH545.Scer.noPi.360m.rep3	yH545.Scer.noPi.45m.rep1	yH545.Scer.noPi.45m.rep2	yH545.Scer.noPi.45m.rep3	yH545.Scer.noPi.480m.rep1	yH545.Scer.noPi.480m.rep2	yH545.Scer.noPi.480m.rep3	yH545.Scer.noPi.60m.rep1	yH545.Scer.noPi.60m.rep2	yH545.Scer.noPi.60m.rep3	yH545.Scer.noPi.90m.rep1	yH545.Scer.noPi.90m.rep2	yH545.Scer.noPi.90m.rep3
gene-Q0020	15S_RRNA	33	12	45	15.036	13	15	9	6	8	9	18	9	4	5	5	6	8	1144	34	16	61	11	7	21	52	47	21	10	26	10	34	153.004	33	17	9	34	4	14	19
gene-Q0045	COX1	413.64	517.976	372.216	459.81	241.049	300.141	301.178	311.421	243.006	313.413	369.387	307.582	226.934	414.625	234.429	304.504	196.922	374.479	506.76	386.584	699.079	362.927	302.625	271.624	828.034	899.772	1048.638	480.101	422.745	260.055	689.007	1436.081	721.477	167.99	307.315	251.738	225.676	269.306	229.15
gene-Q0050	AI1	69.098	70.132	164.251	88.304	65.179	42	75.22	66.137	52	62.242	87.141	70.076	55.17	88.346	43.12	69.334	50.149	299.28	91.591	76.136	130.142	64.824	97.225	49.191	111.472	255.355	247.77	103.271	121.083	48	180.497	325.662	411.76	76.119	83	100.112	55.157	102.209	45.061
gene-Q0055	AI2	141.4	194.78	80.119	162.781	53.457	79	127.495	127.257	88.124	111.424	120.396	79.356	62.29	176.823	81.339	89.536	88.135	264.497	133.442	166.29	183.3	157.882	47.105	141.003	339.202	244.514	274.642	170.79	207.425	92.013	257.195	695.104	169.351	66.215	151.149	102.365	97.716	100.537	97.539
gene-Q0060	AI3	18.242	29.6	20.187	22.436	12.398	9.081	21.235	16.072	9.185	19.452	23.316	14.296	9.127	16.232	9.279	10.225	7.081	13.369	14.386	9.185	21.518	20.39	13.179	13.274	28.962	36.639	26.736	24.456	27.386	10.061	43.188	87.265	51.728	12.244	20.197	23.326	8.247	16.323	18.419
gene-Q0065	AI4	207.942	251.139	152.196	183.597	74.138	88.232	146.149	98.866	84.81	142.432	162.101	103.607	71.483	134.954	91.479	72.821	82.72	122.865	137.13	103.287	182.91	121.503	75.46	158.432	347.816	273.623	259.253	204.216	191.085	109.952	210.451	510.099	234.997	93.708	140.69	111.442	74.46	138.639	73.271
gene-Q0070	AI5_ALPHA	121.679	143.546	130.031	85.073	55.78	37.943	43.921	52.628	40.875	59.037	85.61	57.082	20.996	67.02	34.355	30.581	24.063	16.61	74.691	51.519	182.025	43.986	61.418	61.528	141.86	290.49	150.961	68.166	65.306	55.023	147.668	434.166	349.64	35.723	58.65	41.3	34.739	62.986	52.561
gene-Q0075	AI5_BETA	217	248	229	187	49	83	125	105	71	129	186	80	58	81	79	62	60	33	153	73	312	115	76	145	332	580	261	202	257.999	95	322	727.002	556	118	91	178	71	147	77
gene-Q0080	ATP8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-Q0085	ATP6	4	4	2	5	3	2	1	5	6	4.977	4	7	1	4	5	2	1	42	3	6	11	5.833	1	6	6	5	1	3	6	3	3	21	4	1	7	2	4	5	10
