Gene	CaB41	CaB44	Ca15m1	Ca15m2	Ca30m1	Ca30m2	Ca45m1	Ca45m2	Ca1h1	Ca1h2	Ca1.5h1	Ca1.5h2	Ca2h1	Ca2h4	Ca2.5h1	Ca2.5h4	Ca3h1	Ca3h2	Ca3.5h1	Ca3.5h4	Ca4h1	Ca4h3	Ca6h1	Ca6h3	Ca8h1	Ca8h2
CaalfMp01	-2.38139816357457	-2.40171804863404	-1.26650700259246	-2.98922081904638	-1.70149984684918	-2.43530018356023	-2.98922081904638	-1.93663571388618	-2.43760523810179	-2.37981788508312	-1.71958209093952	-0.573037883993208	-0.485377088341007	-0.935458649029781	-1.24199568478759	1.4511892006329	-1.81520745396416	-2.406919530382	-0.489476266566779	-0.728532380869	-1.23414101508213	-0.000385203611123825	-0.567980027833948	0.8293588179819	0.728870969156641	-1.8632992351582
CaalfMp03	-2.38139816357457	-1.17642792836522	-1.64796871100529	-2.36435312736334	-2.98922081904638	-2.43530018356023	-2.98922081904638	-1.10731811610604	-2.43760523810179	-2.98922081904638	-1.81204699492681	-1.5960306008206	-0.597666605720465	-2.38011635318172	-1.42154461059857	1.67546917824179	-1.01411696027106	-1.40958566041465	-0.329073815754376	-0.434463255533864	-1.23414101508213	-0.745544403284852	-2.36204417566301	-0.018484280477235	0.197461711405788	-1.5174539551517
CaalfMp05	-0.938285625879196	-1.98541208986482	-0.965105976178023	-2.98922081904638	-1.44255404118677	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.98922081904638	-2.37981788508312	-2.98922081904638	-1.09742024228717	-0.107392736768412	-1.35637173800646	-1.42154461059857	-0.328647249952874	-2.11140581510123	-1.99321448023669	-0.329073815754376	-0.901602497548937	-1.85978945273816	-0.208722787043858	-0.0757143255393296	0.769810690660441	1.49754177160916	-0.329104276753266
CaalfMp06	-1.95506500350684	-1.39918224394016	-0.503501955803158	-1.09766670750161	-2.42316205755775	-2.43530018356023	-2.98922081904638	-2.98922081904638	-2.03953477159183	-1.62359374452821	-1.81661424497814	-0.72806714698201	-0.0265686296705812	-1.35637173800646	-1.08233940970529	1.7787757425514	-0.502057195023417	-1.40958566041465	-0.669969702311679	-1.3261166916296	-0.323654711102771	-0.745544403284852	0.369339910408684	0.941391082683874	1.25468541474403	-1.5174539551517
CaalfMp08	-0.489066828279401	-1.66272345426623	0.677569799978358	-2.98922081904638	-0.779563536904482	-1.46702467838398	-1.83269286233204	-2.36898948670221	-2.98922081904638	-0.766793742494096	0.185314818931073	0.7856118602319	1.19300352626315	0.413704619504648	-0.631236606018563	1.26469175513459	0.333176967544455	-0.669658472125007	1.39357559988675	0.530946919088568	0.467800859081138	1.051689259862	1.72964214472386	2.73586456919179	2.77986130305937	0.935781727404787
CaalfMp08.2	-1.9781334247604	-2.98922081904638	-1.48582858165184	-2.98922081904638	-1.8474812087612	-2.98922081904638	-1.36237158695086	-2.98922081904638	-1.75647405154101	-2.19574053594603	-2.98922081904638	-1.97186285848102	0.177784891993066	-2.05576862232054	-2.46394322986402	2.58192382063872	-0.723375939426272	-1.02873785891971	-1.5619314220091	-2.1281335448392	-0.366691141478625	-1.34302707635394	-0.936243084652883	1.29410695266208	0.706871316115005	-1.46224853812444
CaalfMp08.4	-2.98922081904638	-1.16881092201315	-2.98922081904638	-1.92976946132032	-1.8699605525943	-2.43530018356023	-2.98922081904638	-2.07082653218928	-1.06536543466947	-2.98922081904638	-2.14080208496696	-2.98922081904638	-0.824982101880818	-1.68327958455604	-2.46986242959026	1.47876589441168	-0.439529195561932	-0.761014573316547	-1.11064639898562	-0.479589599540764	-1.57273373544489	-0.649173328208302	-0.524067838241784	-0.628386001168009	0.532624589568048	0.11013741886864
CaalfMp09	-1.95506500350684	-2.40171804863404	-1.64796871100529	-2.98922081904638	-1.70149984684918	-1.46702467838398	-1.16773956089038	-1.33456231943638	-2.03953477159183	-2.98922081904638	-2.48287833000203	-0.306206734331535	-1.16207898826433	-2.38011635318172	-1.62665839488047	2.43870268569804	-1.56958472433546	-0.673687899370544	-1.11718511227092	-0.901602497548937	-0.622678333963978	-0.208722787043858	-0.300952339453098	0.503864815924428	0.370163544410039	-1.5174539551517
CaalfMp11	-1.03445625723854	-1.31815909295762	-0.115783098227498	-2.98922081904638	-0.532534166094362	-2.98922081904638	-2.98922081904638	-1.72408471662004	-2.98922081904638	-2.98922081904638	-1.17255265425956	0.363726231091269	1.17370364280668	-0.120584389075341	-1.17197200424375	2.53615262923203	-0.301189153930518	-0.469383327544204	0.56066848021206	-0.0202538186987754	0.376416650681039	0.456036831766614	1.42969914263788	1.9086536186457	2.27815906171689	-0.343615484086554
CaalfMp11.1	-1.03056157996166	-1.04738345116511	-1.03533175372747	-2.36435312736334	-1.2945255403069	-1.72365813064113	-2.39764881133067	-0.841720075434594	-0.898339264867591	-1.95271370115386	-1.56603094980614	-1.5960306008206	-0.827718761039874	-1.95315769673422	-1.31488176694941	1.76281638016927	-2.98922081904638	-2.406919530382	-0.89980019650715	-0.665820178210355	-0.931422124564829	-0.835258223127517	-0.980457275575642	-0.164619163906968	0.303457355973217	-0.60974833371199
