Gene,CgB41,CgB44,Cg15m1,Cg15m2,Cg30m1,Cg30m2,Cg45m1,Cg45m2,Cg1h1,Cg1h2,Cg1.5h1,Cg1.5h2,Cg2h1,Cg2h2,Cg3h1,Cg3h2,Cg4h1,Cg4h2,Cg6h1,Cg6h2,Cg8h1,Cg8h2
gene-GWK60_A00033,-0.624302752219611,-0.987464373664481,-2.60675652981791,-2.11736045841794,-3.21848360044114,-3.21848360044114,-2.64671227514204,-2.5763112137631,-2.12100676728536,-0.130013833294234,-1.10550328524089,-1.12506338327816,-1.37741837563446,-1.19202524401948,-0.0709641246575818,-1.64497316101826,0.0648840847198302,0.173745192745558,0.187925137400598,0.422412765535944,0.946224975482372,0.837939236096662
gene-GWK60_A00055,3.47896497290018,3.3407372155189,2.97820163277229,3.37584942023424,3.85169047436533,3.87573604545889,3.40731029351168,3.18309460700391,3.80937540436282,3.52846574916406,4.26841582554381,4.26863445575564,4.74114066287945,4.71740888669532,5.22138646691683,4.87262193318759,5.37769989034624,5.29759011171197,5.68818946000499,5.65705978650696,5.92941137132677,6.17218703455499
gene-GWK60_A00077,6.71959722548416,6.73766697615365,6.78361350903705,6.89133359192864,6.4674697260847,6.42393196262386,6.96319646625622,6.90370426894245,7.44541446937885,7.40264008436429,7.74422803839583,7.73934345658074,7.68789996128458,7.7492535578615,7.30693521744806,7.50074474543178,7.391983989227,7.34709836254419,7.38990922572426,7.42316098322626,7.528623899915,7.46329380047876
gene-GWK60_A00099,9.10547456033978,9.18222216868941,8.73340414109905,8.70797737402797,8.83492820965213,8.74179038672509,8.87585030462715,8.83983014907554,8.7583968970847,8.79650353865072,8.65034732687975,8.56723301081974,8.30574534304241,8.35560552477975,7.87948864683811,7.96572570876655,7.85840293599844,7.77588423222202,7.62102676479833,7.75402449712321,7.54609088512151,7.53845729450753
gene-GWK60_A00121,6.23757041491836,6.3493495816989,6.08664913596343,6.11123860538966,6.66700467560399,6.57222311431616,6.44206382062974,6.45433946803197,6.18224528154714,6.31403594316333,6.19635079599854,6.07245290983773,5.29454692913307,5.09966427118471,6.03212468550736,6.24644958200439,6.2540593783075,6.0904413282832,6.0477521750977,6.2495289471219,5.77610308489667,5.76351177859013
gene-GWK60_A00143,6.84580813027194,6.87709034968483,6.66602318493483,6.76727843920027,6.93844047185288,7.07526043819231,6.85470297755398,6.75071567682652,6.85504921687169,6.87001108951845,6.79991077744103,6.7598314771502,6.71299119860548,6.75916666014263,6.20073166846108,6.50656749214838,6.47134779187893,6.53235859573765,6.52341744197092,6.59237421148756,6.4833265494712,6.51673504277428
gene-GWK60_A00165,6.65751947451626,6.63721903730218,6.79471466998335,6.79311729104018,6.9214863371964,6.9281526610594,6.74934287923851,6.76516857396151,6.73514925827289,6.62403208308648,6.51972296522521,6.41161844249587,6.46207362019639,6.34509452684629,6.30145014800494,6.33400192350601,6.32795141139519,6.32730545246181,6.43986009953111,6.32714439610296,6.26813398234391,6.33453327493842
gene-GWK60_A00187,5.73065824332331,5.80845415316958,5.26740677996247,5.20534531973516,5.24772171132778,5.14683155654969,5.58401400045154,5.56841480308431,6.03767781088499,6.0526216451141,5.85817042372641,5.83763784650443,5.83401441314948,5.97523635537903,5.25731915516826,5.66487918802744,5.42327987179918,5.57380366658201,5.43645029204736,5.55751449491059,5.41907567278905,5.5459444972828
gene-GWK60_A00209,5.77839158480606,5.82114094472308,5.1684620010557,5.09596706734918,5.25423625017376,5.38076258138814,4.94628384907524,4.78842918353957,4.9486445252305,5.17394212534933,5.33273154431453,5.29846174581718,5.49389786961805,5.61419633705555,5.67340471987364,5.55792555022304,5.72910788869366,5.62105605931174,5.72638731966548,5.67780529227103,5.72464937338183,5.79384476960856
gene-GWK60_A00231,3.91661373473606,3.58345732107531,2.62714074826895,2.80681356061799,1.95992456361654,2.25848988957724,3.58113287437671,3.40441562202076,5.18818852577428,5.19415461104442,5.95076359490689,6.08448447296039,6.19287076115478,6.21217001063664,6.64807420020693,6.07112821494407,6.3000331679091,6.14857230627763,6.2182594126904,6.06248010064242,6.23068517585787,6.40211182239591
gene-GWK60_A00253,9.14943385126816,9.1667735171657,8.77136271976107,8.69125719878738,9.32786996474413,9.39896244736597,9.04693271059391,8.99996969797902,8.2872246013362,8.31051827409444,7.89428484859828,7.95470801581739,8.24398560320909,8.2997353055686,8.58188315586373,8.48856558095623,8.48344797481642,8.39590645034162,8.22468237266686,8.2774982730605,8.1715604065727,8.13320752958424
gene-GWK60_A00275,4.39242744377294,4.6884978312132,4.76693589082095,4.35974499236947,4.51492062751249,4.68445881970314,4.31543519160575,4.47344459690378,3.58884745111238,3.63745241997933,4.18977732969481,4.10757006679804,4.39749028780519,4.73838511426682,4.72914026274777,4.68205029480263,4.77563428909111,4.73860056338795,4.46356016539733,4.76500430991215,4.89386063169011,4.69535759101581
gene-GWK60_A00297,8.03246363821632,7.98365171938145,8.33683119879346,8.38937463215735,7.67233538471081,7.81982965743984,7.79076241119494,7.7652550329117,8.26243837114135,8.24555655282222,8.16910043871612,8.14885632892617,8.14519850820598,8.11674019609588,8.06162397450183,7.78292593679039,7.68836937070747,7.57975686263264,7.43970900676619,7.37670209044457,7.32552934089693,7.42703949295631
gene-GWK60_A00319,8.749307743872,8.77580168757116,7.08851852049176,7.03698552384595,7.58329765461345,7.58408842867391,7.49940548818576,7.46284517280964,7.27075056784009,7.29289743486865,6.75106630701582,6.78024910623906,6.63746799707067,6.60046480811155,6.85728636563358,6.73536095610361,6.86733942469973,6.90940563638769,6.78920113580076,6.73665106104797,6.66197660358495,6.6352881300498
gene-GWK60_A00341,8.21279077014641,8.23720714323295,7.37650513196186,7.22846888056125,6.49889670879755,6.53445627875619,6.92027522026716,6.95923269704087,7.33689315223115,7.40601379833702,7.35468150867072,7.36351184913985,7.12064232433975,7.14589788163331,6.99352033837574,6.86246234932557,6.80875549422453,6.80823913773759,6.67539201853988,6.84264943029606,6.82511591338565,6.8273686791949
gene-GWK60_A00363,6.77270004322436,6.93782684225655,6.88335255205217,6.89282653966302,7.16219274673125,7.18813006961579,6.93333060974083,6.94449173376066,6.93281303631272,6.95340755496519,7.31667832420397,7.27733742207083,7.15578312236336,7.16095664614168,6.75146000110939,6.812796834258,6.53809030246541,6.51911542055463,6.40761402188858,6.53246424892897,6.55241124673975,6.41307344355172
gene-GWK60_A00385,11.8254346830929,12.0619829931273,11.8538539729791,11.6165548007169,11.8939795399541,11.7246745817292,11.7120645977995,11.8685022558039,11.7162519080346,11.7700204105177,12.3216833229416,12.178061045732,11.8392133402543,11.7071546037837,11.9705768946705,11.9714423084619,12.043864472902,11.7650240865956,11.9000411892087,12.2916250046411,12.2356609012407,12.3234015906304
gene-GWK60_A00407,7.47864319704721,7.69318365141686,7.8379646876701,7.75387651053502,7.1008643510601,7.03294565285394,8.39532877480722,8.4257289804923,8.79844929282426,8.81057355684459,8.91608144676678,8.77063533184104,8.43622077054565,8.53965352105012,8.07596489746972,8.19163226632795,7.86942253310203,7.91193084985081,7.86753833142523,8.04642929050853,7.99699454525351,7.80797053149184
gene-GWK60_A00429,6.53065073341537,6.53984276787474,5.88950541285185,5.87156993930302,5.8693058025834,6.02086601888087,6.13287932603542,6.03526077776668,6.58812265472876,6.55102874977327,6.67717767170354,6.67017809843466,6.76251790972975,6.68392900416636,6.62807293197768,6.44890133267595,6.45274436240941,6.53400547765598,6.51076465363797,6.38152068092542,6.44114101164225,6.53902743743121
gene-GWK60_A00451,4.64427273581816,4.74618124963662,4.50744071918995,4.34234962600927,3.76310824632286,3.5681630486181,4.43176950575718,4.4576561978187,4.89058371529389,4.85647294271706,4.97574174055516,5.02744202405758,5.08804581543792,5.08570151252356,5.06094285463261,4.99360081572474,4.93330835174538,4.87998587610099,4.64690788740637,4.77980386173589,4.63505708674548,4.73267889499271
gene-GWK60_A00473,5.49298461432012,5.43617440629322,4.53241420247968,4.5982594537298,5.10364662611996,5.21829128779362,4.87614586418816,4.62899393203196,4.68661358605006,4.62129382910175,4.51290465297417,4.7771037386066,4.89287791807097,4.86912464152803,5.28410472248298,5.1234371328301,5.20866937481809,5.22807621425345,5.07320359388343,5.07922646443885,4.98164312447625,5.0504877855629
gene-GWK60_A00495,6.16106117002403,6.14630647104645,6.17426119493671,6.25063658140085,5.9944543028029,5.97346221625607,6.08704293026212,6.10130347851089,5.92345262707812,6.03405226571845,5.88886748489014,5.83231444015221,5.99527665340951,6.0076872339656,5.80729073390243,6.04131713461782,6.04856741535887,6.1071325176873,5.9911621248202,6.04910388265877,5.96278604340634,5.90182121740745
gene-GWK60_A00517,5.12345404602045,4.91250343561958,4.92616789622092,4.81238608101787,6.00425125308409,6.12370297945577,4.72472906752099,4.6254775938032,2.095815924953,2.51351833543932,1.69975572149133,1.73858550866001,3.30422386153714,3.21715565060491,4.37193659771577,4.11232011715342,4.46613131249138,4.53655200799713,4.21931603939699,4.2267546866685,3.89906456933198,3.89812506282233
gene-GWK60_A00539,-0.508684173125195,-1.06285087372506,-1.58047946021909,-0.245349581965497,-0.555093901940294,-0.382557123799209,-0.253371060378763,0.25298922300195,-0.417832966943516,-0.836050471538283,-0.662721834868801,-0.184851079546453,-0.537388781641108,-0.38092985854246,0.582464472654856,0.739830753106038,0.132210265590237,-0.151425954502471,-0.134971685931481,0.0849489499398492,0.201280681463582,0.171078094781528
gene-GWK60_A00583,-0.750000715960349,-0.0384693843087667,0.762131042462058,0.0429151983297485,0.326297997382897,0.0099877989958959,0.268654743022403,0.690034959614921,1.06687369225947,1.42322032200474,1.21471012547613,1.31878665759274,1.05992066122463,1.10030674689682,1.09561482064614,1.41684492737985,1.12655215848125,1.04496693985242,1.27973608053324,1.5134606311737,1.78814981106281,1.14552307153988
gene-GWK60_A00605,3.61902282495062,3.62745958007434,4.2522256584512,4.07909329028074,4.0140384685731,3.92213053111282,4.48323164825613,4.52713304915615,4.80052183756836,4.87328454825648,5.17881670494033,5.09419899364906,4.67700822339443,5.0529141755847,4.51115137775439,5.06267963998805,4.90977950029804,5.01347588504587,5.03640346308813,5.34508327757393,5.29555426246058,4.97463196406669
gene-GWK60_A00627,0.3766158511705,0.35959292363525,-0.343283697228534,0.205677825986019,0.326297997382897,0.172336666524487,0.137744749626551,-0.268364386453955,0.661747000321603,0.373932010671443,1.25033019705968,1.43573058071753,0.977096859873354,0.721259812295213,1.70087411476616,1.31179606082687,1.28125177642645,0.929589356534327,1.19790933681375,1.48484387993525,1.61810571910803,1.8631913989837
gene-GWK60_A00649,2.90093621259179,3.36693124329115,2.6919082483761,2.55828281167913,2.28238672988721,2.53713509359215,2.94180848345503,3.28468048217445,3.11007218242326,3.41056805519851,3.91465452184153,4.05978052932301,4.06026865534258,4.20916302729634,3.87101228463471,4.45421412755317,4.05020479767462,4.03928939832574,3.88646573423396,4.0814166808076,4.42269364673654,4.25040094181601
gene-GWK60_A00671,6.3961835590586,6.4188172216678,6.61516373862603,6.51701884863816,6.22261233941141,6.37890137895666,6.83766866761972,6.92388433268915,7.26113527252772,7.33800297281754,7.86052484457259,7.83382893178329,7.96821115872383,7.93008839436655,7.87334825772755,7.55880736744137,7.50856547693018,7.35457340480076,7.44821307364708,7.45347653986647,7.54142533955373,7.51802768303464
gene-GWK60_A00693,6.72181848280483,6.70723524076747,6.8217377789442,6.81928681499446,6.57024905382464,6.63101527863931,6.76189992453906,6.84972491587868,6.8494455025329,6.93817512790529,6.81758270827106,6.76823210860588,6.7209669893066,6.71600800543507,6.72560312399877,6.71318776305828,6.7011636367937,6.6333747725911,6.69354403063431,6.79244910292572,6.78189824816246,6.70501651745462
gene-GWK60_A00715,6.17949516536801,6.16135118415897,5.93703854265986,5.88214198702979,6.03105429176224,6.2173712551681,5.98243369772882,5.99085769592247,5.68539956755618,5.57426162476125,5.369776069202,5.42409339276574,5.57534107556966,5.39024345426708,5.88085599539026,5.57882851163466,5.53515122516358,5.79321202572702,5.73124321782907,5.6554557510244,5.5666403376635,5.5791074401797
gene-GWK60_A00737,4.068624723016,4.03935835887766,4.31525498092333,4.54982311594434,4.58894393301122,4.88515987205518,2.79746674104551,3.16383059020254,1.93579852103334,2.15868284583255,2.71844994583148,2.51707582306682,2.81317067859701,3.38617728255204,3.71503048467058,3.88707381827596,4.18959567236893,4.18476898891242,4.37635398967356,4.29014921742434,4.50167499314121,4.44855133015182
gene-GWK60_A00759,4.9371906974062,4.98194166487433,4.521764171324,4.75766448965649,4.73892717882825,4.87340169819915,4.20940976644625,4.32085788666252,4.48660408467705,4.30755146690397,5.02148689515698,5.08228887296526,5.55763575557296,5.68185442139321,5.85175738018442,5.99116621807165,6.21235388361048,6.13994650980718,6.2363050712849,6.23992812665311,6.52069096477503,6.46334280458847
gene-GWK60_A00781,6.80168947203589,6.84094873291259,6.9895795541673,6.92239483900608,6.52606905343506,6.50713332557105,6.60115380653931,6.68740068676286,6.61387328311852,6.68956897913041,6.4113225870442,6.37425426672798,6.43222854905082,6.46948927587603,6.3553284721549,6.35177591052925,6.37497581606531,6.19407253135951,6.20784534991608,6.18983390249508,6.14828242910754,6.16059448438767
gene-GWK60_A00803,6.22614088452882,6.37108492743662,6.31763677478251,6.17772671931057,6.33135548720215,6.48218903985662,6.00842771095094,6.08731374904046,5.78772734050344,5.8495537899056,5.64036326098056,5.6035612191855,5.75387325116887,5.8445268981923,5.91774053319547,6.06035895998909,6.10870276070999,6.15500797647486,6.17079517164263,6.2716854753264,6.18028334842329,6.08613130622029
gene-GWK60_A00825,3.62536477741611,3.77168693395686,4.48568532097935,4.13572803626841,5.08183765375743,5.0245806216095,4.31921627570352,4.4497245656812,3.31912634058739,2.87799881241456,2.7037555280431,2.38756636955788,2.49376905251784,2.173391762707,3.26673782605136,3.40704611934697,3.84221253692557,3.89808541073665,4.33228991484877,4.29427809530889,4.18668101671551,4.18334600194049
gene-GWK60_A00847,5.9549434785302,5.85083233957913,6.03140874075609,6.04825883959659,6.35478341446578,6.52227200652833,7.37141293026943,7.27979362278314,7.5493064508118,7.48424689671975,7.28108363590335,7.21734229417751,7.12124511821183,7.03643187967021,7.28049964718085,6.9583917191361,6.98402947495966,6.96845075775248,6.9209564415814,6.88501490797682,6.7171779906906,6.83081478211871
gene-GWK60_A00869,9.06578195437198,8.9849320104803,8.78051198785142,8.86011318248657,9.21954729690276,9.30073324273482,8.65241602574678,8.58197488259428,5.52391442449014,5.40538548473147,2.80342504875987,2.68398913756457,3.10409342321585,2.90363924888077,3.35463226696214,3.26419343117718,4.2012720068257,4.31308154089888,5.27789212595569,5.05509717782862,5.36633134738149,5.66656036346206
gene-GWK60_A00891,5.60100425981581,5.66979317111276,6.39456444586216,6.45564772939137,6.52875835091901,6.3259638283398,6.11450156990897,5.85182066572869,5.42834719161182,5.29325929667278,5.00390790977756,4.97365467071617,5.24673141769555,5.27602037157937,5.07461778594492,5.49932842766649,5.33770330395614,5.53814102226156,5.66807150237237,5.7858045952823,5.50697819593925,5.5791074401797
gene-GWK60_A00913,6.1880891532008,6.14882484358547,7.172052992017,7.14062672457865,6.47678423282489,6.28328039333859,6.0635667998117,6.12141484386798,5.34432705234778,5.21666561585425,5.18576004773967,5.11772826175155,5.23117893335604,5.1586550551153,5.32450463623954,5.47522274317134,5.5790711868687,5.68471253281465,5.68569000387808,5.84047415007819,5.58983107202512,5.63616317328898
gene-GWK60_A00935,8.83475068933147,8.86752652119744,9.10367868767301,9.13601717427393,8.6264386487122,8.39637038820013,8.7934736206613,8.7566848712955,9.63077955863186,9.59990005650443,10.1247308648463,10.0439975690811,9.81627490018472,9.81517827798139,8.91782317315732,9.28566912376298,8.55988539632369,8.77448604659972,8.31538999604977,8.50895257990267,8.20466541325897,7.85700059190188
gene-GWK60_A00957,7.97592318717429,7.96947534885903,8.01736252106067,7.97739942105675,8.67154988076512,8.60650396111409,8.22035923629835,8.24590536957869,6.85504921687169,6.82607274372943,6.57599043203365,6.46189449388664,6.94995195886815,6.93104917565607,7.61886134880219,7.45007811091705,7.5190999219769,7.58214672870557,7.46907481406982,7.53642793822318,7.24799160779877,7.14158526198877
