CaB41	CaB44	Ca15m1	Ca15m2	Ca30m1	Ca30m2	Ca45m1	Ca45m2	Ca1h1	Ca1h2	Ca1-5h1	Ca1-5h2	Ca2h1	Ca2h4	Ca2-5h1	Ca2-5h4	Ca3h1	Ca3h2	Ca4h1	Ca4h3	Ca6h1	Ca6h3	Ca8h1	Ca8h2
orf19.6115	14	8	4	2	5	3	49	61	37	73	45	94	4	2	61	67	1	3	31	77	19	24	3	10
orf19.6114	3048	2154	1674	1317	1890	1770	3879	2831	2938	2489	2975	3828	1616	1828	3686	4364	1557	1491	2663	4645	2872	4122	3149	2685
orf19.6113	230	172	177	125	95	108	248	223	280	218	166	214	77	102	239	201	65	93	192	213	176	167	163	141
orf19.6112	7023	5236	3354	2674	3674	3340	7701	5375	6600	5624	4548	5666	2057	2275	6556	6529	2403	2401	4495	6106	5627	5649	5466	5047
orf19.6110	3	3	2	7	5	2	2	5	3	4	5	3	2	0	2	5	3	2	1	0	1	4	0	1
orf19.6109	33150	26561	20924	14430	13367	12349	33652	25854	40341	29495	18869	23204	14331	14272	29215	25791	8615	9069	19832	23577	20129	17394	17981	16722
orf19.6105	11360	8988	7047	5133	9008	7846	9216	7547	12442	9400	5538	7142	9722	9178	8086	8558	7786	7585	6248	6989	6479	5165	5955	5737
orf19.6102	1716	1346	1987	1488	1147	951	2136	1682	1892	1669	1483	1992	1553	1517	2159	2035	1177	1040	1621	2091	1713	1854	1775	1570
orf19.6103	192	141	174	135	92	91	236	172	204	171	132	146	132	149	208	185	66	87	142	143	103	90	91	115
orf19.6100	2661	1890	2015	1470	1755	1465	2775	2030	2850	2293	2141	2609	2029	2048	2634	2799	1579	1528	2068	3087	2515	2588	2564	2421
orf19.6099	12951	10383	10577	7586	11753	10244	9931	7962	12429	9184	5281	6631	14834	14275	8831	8120	11728	11240	5985	6434	5979	5416	5590	5481
orf19.6096	1627	1261	1976	1640	1707	1448	1173	932	1330	1011	767	977	2436	2443	1237	1040	1892	1788	765	1031	881	1035	976	860
