gene_id,yH1053.Scer.noPi.0m.rep1,yH1053.Scer.noPi.0m.rep2,yH1053.Scer.noPi.15m.rep1,yH1053.Scer.noPi.15m.rep2,yH1053.Scer.noPi.30m.rep1,yH1053.Scer.noPi.30m.rep2,yH1053.Scer.noPi.45m.rep1,yH1053.Scer.noPi.45m.rep2,yH1053.Scer.noPi.60m.rep1,yH1053.Scer.noPi.60m.rep2,yH1053.Scer.noPi.90m.rep1,yH1053.Scer.noPi.90m.rep2,yH1053.Scer.noPi.120m.rep1,yH1053.Scer.noPi.120m.rep2,yH1053.Scer.noPi.180m.rep1,yH1053.Scer.noPi.180m.rep2,yH1053.Scer.noPi.240m.rep1,yH1053.Scer.noPi.240m.rep2,yH1053.Scer.noPi.360m.rep1,yH1053.Scer.noPi.360m.rep2,yH1053.Scer.noPi.480m.rep1,yH1053.Scer.noPi.480m.rep2,yH1053.Scer.mock.30m.rep1,yH1053.Scer.mock.30m.rep2,yH1053.Scer.mock.60m.rep1,yH1053.Scer.mock.60m.rep2
Q0020,4.551662240843338,3.39656922958695,5.161676847697767,4.198250449332128,5.194624898624343,4.792333606245006,4.37495722672795,4.242361490689358,4.694483261181486,4.832950734589317,4.6104847225942285,3.4858194701293637,4.815558631200204,4.248273861646494,4.850673201926837,4.5227594173952514,5.394786775840957,4.681986766643867,5.221052178865424,5.570880969239695,6.144577650964981,6.202649218475424,3.685857177350361,4.75732568190632,4.02971703192107,4.0435871679577495
Q0045,8.52851378937571,8.833368055149872,8.43202865153691,8.220414408567855,8.503808034623274,8.444234570477681,9.230087486415208,8.323813422247937,8.621788000341276,8.932907505033809,8.78735546377978,8.865052637412461,9.453625248448013,8.681921417157888,9.836282804943195,9.209089196802648,9.503722763937414,9.181761685152344,10.16706699387162,10.303761037604632,10.280177145326771,9.302490293112305,8.22147501185554,9.267081932313351,9.22418294468631,8.9632039579491245
Q0050,6.943549626646401,7.047631321801286,6.9981755180157545,6.5108300053303,6.14132536882623,6.718705799992806,7.033970435875707,6.30848672132917,6.41336563631406,7.288791077809058,6.656518662093485,7.071819330846647,7.069696711607489,6.878995695978286,7.261140666954155,7.073129550046699,7.634583830360455,7.506776799239236,7.906168891463691,8.479682571738358,8.360438007370117,7.839127536091922,6.009222147357624,6.818466574326803,6.456427884372446,7.165857957468656
Q0055,7.01683040233954,7.0628663036070405,6.655124792480263,6.458166420743867,7.139992988316774,7.351378598830799,7.770758347119868,7.374837635524169,7.149718577387919,7.494438877769623,7.5533084924772975,6.854807478438911,7.857918824963789,6.755914184548194,8.071209480340078,7.569758303632319,7.834611867241786,7.498580171048333,8.434088249287829,8.54910816455978,8.485743326225457,7.806380350597459,6.089626833835265,7.907859034283676,7.278770116939097,7.567929354770994
Q0060,5.337388463953205,4.476459057084648,5.171145692019562,5.021409691305707,4.260916978251904,4.554674478894445,4.847254657952802,4.488637144693107,4.7823922018728435,5.0309848115759745,4.699349176299277,4.6650997362386395,5.22559205904831,4.344397178057661,5.387569179106052,4.67384144224492,5.1716442557830735,4.998735484720031,5.447125929286765,5.851382299127418,5.648260492316975,5.5866861017319165,3.505892657831291,4.88090753515801,4.600967222031092,5.366952517467232
Q0065,7.475591495306693,7.382805455743303,7.175501673444631,6.740966803410185,7.123266730794893,7.576965516681104,8.029113002870238,7.470617687136387,7.221773363389588,7.820015896910068,7.678802576284546,7.58963095043317,8.10546820918881,7.429438093075007,8.364104189700283,7.687462829971983,8.14538587865067,7.753093559121486,8.49145109931295,8.666826956623181,8.440305812271337,7.473477904536762,6.383550652574849,8.225306006768477,7.608740592401375,8.21811648634045
Q0070,6.883020020984684,6.87864205531112,6.759984042589022,6.2352541768189225,6.259695758695366,6.157523046627675,7.524102179764182,6.055091763185441,6.387519469098148,7.281088577457568,6.629945548877336,6.972167652947074,7.538256185337693,6.6314866441009475,7.292920214194419,6.027850918773662,7.66478866932832,6.795457234693723,7.717848231546768,7.588418810666636,8.056179115951762,7.12841597402666,5.47097038181786,7.159036223333381,6.740762051541475,6.916846047443134
Q0075,7.8078929788154445,7.581600873539358,8.768335589693622,7.531474335450842,7.370767720635146,7.325245694364368,8.435260186033563,7.4132087055167,7.413206541015961,7.88944216327227,8.35890387431897,7.910457269558543,8.660602121352554,7.863025838861216,8.680348326248506,6.797692467390536,8.694302915128095,8.31924897018894,8.90519409241558,8.987943199774538,9.011474245379944,8.67740473062125,5.635882928383403,8.355166014325288,7.323639308978805,8.209516975849407
Q0085,2.339699115894275,2.1488234702641567,2.16112941474687,2.2495257064302296,2.169400145001879,2.2433039728618747,2.2758082227605065,2.1776617691516407,2.613118398155901,2.441522070872999,2.549189169013321,2.3370633394646245,2.602509621440821,2.1493537329758867,2.5862776269152654,2.544312586656676,2.554088765941227,2.539636180545285,2.8656030386458307,2.5672020647089595,2.6894120988331234,2.7441906643532614,2.1716730646774662,2.679878741053961,2.184169408023093,2.3344931741086983
Q0105,1.076425727461676,1.0641178080116536,1.1611158930885297,0.972349966753431,1.0747730029719207,1.0693867259165017,0.9784038998539105,1.259966397893028,1.3010016903954744,0.9672691335851572,1.058246689217185,1.0492329565738612,1.1918585844558014,0.9683202123683048,1.0687740934515257,1.193969793888942,1.5451476726195463,1.327417274622434,1.3523638762877057,1.5491049397380974,1.6281742142603237,1.6309138989509429,1.1401298961681128,1.0786044995362782,0.9777274698350746,1.0743957075434842
