gene_id,yH545.Scer.noPi.0m.rep1,yH545.Scer.noPi.0m.rep2,yH545.Scer.noPi.0m.rep3,yH545.Scer.noPi.15m.rep1,yH545.Scer.noPi.15m.rep2,yH545.Scer.noPi.15m.rep3,yH545.Scer.noPi.30m.rep1,yH545.Scer.noPi.30m.rep2,yH545.Scer.noPi.30m.rep3,yH545.Scer.noPi.45m.rep1,yH545.Scer.noPi.45m.rep2,yH545.Scer.noPi.45m.rep3,yH545.Scer.noPi.60m.rep1,yH545.Scer.noPi.60m.rep2,yH545.Scer.noPi.60m.rep3,yH545.Scer.noPi.90m.rep1,yH545.Scer.noPi.90m.rep2,yH545.Scer.noPi.90m.rep3,yH545.Scer.noPi.120m.rep1,yH545.Scer.noPi.120m.rep2,yH545.Scer.noPi.120m.rep3,yH545.Scer.noPi.180m.rep1,yH545.Scer.noPi.180m.rep2,yH545.Scer.noPi.180m.rep3,yH545.Scer.noPi.240m.rep1,yH545.Scer.noPi.240m.rep2,yH545.Scer.noPi.240m.rep3,yH545.Scer.noPi.360m.rep1,yH545.Scer.noPi.360m.rep2,yH545.Scer.noPi.360m.rep3,yH545.Scer.noPi.480m.rep1,yH545.Scer.noPi.480m.rep2,yH545.Scer.noPi.480m.rep3,yH545.Scer.mock.30m.rep1,yH545.Scer.mock.30m.rep2,yH545.Scer.mock.30m.rep3,yH545.Scer.mock.60m.rep1,yH545.Scer.mock.60m.rep2,yH545.Scer.mock.60m.rep3
Q0020,3.845198468966643,3.5602851844980843,3.7536933236960426,3.280841073504789,3.1526591822990246,3.3945654598288235,3.6157067031441628,3.381664097888592,4.378532779597264,3.558175028530176,4.511602229213851,3.7171619827342965,4.323408756605433,3.582593190578088,4.759122942533503,3.4251070804888615,4.00151693654599,4.292931311127564,3.6289241708273785,4.294303942782356,3.783227384899734,3.4806653156795537,3.7136874437975704,9.215477047532406,4.853799763459445,4.250779268880542,5.382307716761923,5.302883642675016,5.283831716551225,4.108364545418972,4.836893410797237,6.294924570073185,4.827750877378747,4.638325898100608,3.7632532286160525,5.081253561575703,3.880209008191965,3.8089155903166887,3.990023563585139
Q0045,8.558501179007248,8.549437986807193,8.269884168805252,8.000240418320926,8.370851333647378,8.066358395779588,8.223017166212141,8.076994733172354,8.176828248537706,8.591173123037441,8.636669751885616,8.05959562466698,7.769975768467015,8.171145358260409,7.94616698862047,8.254266521598593,8.141777765310769,7.972578881996365,8.268212733628689,8.645670573279268,8.490156225705258,8.389863759258517,7.943454438668422,8.695308676237527,8.952848987460651,8.795393408121157,9.22201056876323,9.563480410700762,9.78764520225146,9.536880861020828,9.3265239737623,9.964556669519945,9.413994800137646,8.45985035657459,8.80293380792473,8.46201057660801,8.56499256924324,7.8111557629938995,8.180278052093447
Q0050,6.545009410279885,6.355434406779314,6.121546588140173,6.020446096317283,6.192844762365642,5.784985178129935,5.877792096348211,6.396919790385903,5.853429052948132,6.402912743762934,6.777290729674357,5.779412938970495,6.507737405866335,6.289959584445563,6.523313890348825,6.24913733544521,6.650167624916092,5.7744463939484545,6.030814731013419,6.5603371317254275,6.379709284131502,6.285388922664568,6.023387700021517,8.072741580193957,6.53522949040265,6.485470949601177,6.807328318572324,6.732716110513982,7.838917510149956,7.386476899700989,7.307961638435511,7.738064581571518,8.35105758366379,6.004268342765553,6.0699912134489775,7.127589905556058,6.249132333659203,5.9684327795634,5.591249216773667
Q0055,7.267772938932782,7.220173177686195,6.816673164866428,6.250647584210636,7.10518122941009,6.576506984140815,6.989675537211177,5.701355860244906,7.1539743128183595,7.096653637144309,7.524213081332082,6.59429748258313,6.450962524098826,7.086401220591505,6.644645515015345,7.013265408761196,6.73915473594723,6.734417077745276,6.789417576057812,7.038651511309104,6.618972025063357,6.6882168396306705,6.7572677856115755,8.030826060273505,7.068490512478179,7.513290052147717,7.31781855385725,8.193475667875326,7.900186061018067,7.617411399351245,7.850264946048612,8.792257939097741,7.363667253747286,6.919689019592194,7.363272955536905,6.388567881179228,7.065572754059349,5.844471486860574,6.365849576359763
Q0060,4.46047554304064,4.22182802499677,3.86684471684915,3.776797804852599,3.9206606490801517,3.790463167175183,4.085153154920474,3.844748912550826,3.9682257393547395,4.2272312087992265,4.445972144514757,3.7804057818651575,4.020064704509062,4.177186810644547,4.296490813393484,3.8387135549927573,4.09548647424127,4.198184745562964,4.1815947770602655,4.42879238282672,4.101410142970351,3.8441865355055764,3.7052793394817565,4.029130227568546,4.0075587293520485,3.834975758878815,4.248287691007581,4.544194398804332,4.832463591554188,4.281960907800669,4.892664689665451,5.346294645927659,5.091045697561437,4.0503441562429074,4.474680950800712,4.204887720370151,4.178259681228174,3.807663981639378,3.69521115517796
Q0065,7.445507278749486,6.9344328856763635,6.786988066162673,6.412528647825681,6.791986466124983,6.721069839844783,6.693533459207251,6.21321253358415,7.300405958789767,7.318989811724307,7.435069348939865,6.812353709508305,6.8665427289269845,7.014125428501957,6.7534412375638695,6.697475552112887,7.12647550422605,6.408286661958145,7.091006677451679,7.408668500729806,6.948669996898137,6.460075146138489,6.700341821339655,7.108156621217827,7.113539860468646,6.950586395214192,7.326974061326385,8.234254282276012,8.047277379165706,7.552529262404769,7.6103963418101355,8.41132877602519,7.775716465901098,7.396893800696856,7.6807530401228,7.148785759518244,7.2207577031359484,6.217383804085527,6.499194755484605
Q0070,5.870066495525824,6.026235453919196,5.780996384094443,4.996468859161396,5.811027147894633,5.461242603943816,5.38919377927848,5.799600190104553,6.021650710034558,5.857250909680498,5.986517220877764,5.839411590104192,5.614177408949281,5.83072749795037,5.470551910656685,5.682018351183235,6.0208090862383985,5.861773020790969,5.893364963648489,6.460853593874804,6.06506218482946,5.363076472231951,5.207578647831029,4.872984021864187,6.218277174774727,5.977578659664217,7.120147936083465,6.936049551210816,7.904093541674544,6.709043154715505,6.9858692128421644,7.997261912654597,8.054431810454382,6.5666287571283375,6.811793156840262,6.765795593962007,6.128220879463392,5.726220676468402,5.407133693153495
Q0075,7.26117723709897,7.004106419720174,6.577462067156825,6.181814988621123,6.1966357482490295,6.554929598604114,6.621203579336721,6.220434802829768,7.199318564143679,7.310286088971784,7.811038031874597,6.63872056937177,7.136357124232157,6.497708838732006,7.319167572454785,6.647427204307469,7.195731633008263,6.463458901291077,6.97685935895396,7.582446179240942,6.641149767892361,6.271686409387217,6.328979926663062,5.654423736427051,7.248709155285775,6.549125919651015,7.990514694835748,8.186269457125217,9.004120937756726,7.567486033802393,8.148712533427744,8.872367577356362,8.866307728190023,7.452991677302056,7.672428466983986,7.652523595961624,7.2429129621286386,5.762972511503157,6.427378503307708
Q0085,1.9825463065128512,2.327224476641209,2.4104063248334158,1.9529860349106072,2.1179561641671016,2.2924319732735072,2.2473915941558347,1.9133160850090216,2.338803676636675,2.057110541950393,2.3093997209979835,2.1074574046171093,1.9739512326235005,2.35293223955873,2.0125583335474104,2.2768579419076946,2.2650480585512756,2.57883660830142,2.247624124942222,2.218501200353215,2.4534242502637733,2.049004062834892,1.9704550372356349,3.659771039495983,2.11686304496063,2.390294333797886,2.5647731298584455,2.3273974431694175,2.2914234068391934,1.8963481547168906,2.1123433480375606,2.869643718202837,2.1959093909711687,2.1389475385896333,2.152105565600558,2.0168440265255465,2.197438959557017,2.0753293872959584,2.01520972081783
Q0105,0.7415159804917504,1.0530703452044226,1.0590208427133392,1.0256316837083632,0.802159453241759,1.0306630111449322,0.886871826700558,0.717263317692901,0.9297375736991156,0.888541322292472,0.9159366806255479,0.7257101486934625,0.7385306483292202,0.7209659731871018,0.8211719683119606,0.7445059950751164,0.727656446233496,0.8353730280729444,1.0788130439998567,0.7328011626905273,0.9518574442286948,0.7321156596569762,0.737313953268889,2.0018060794288837,0.7278862045303514,0.9539063826794987,0.7209460856513855,1.4523382104639335,1.0300133269180949,1.2541304324935194,0.8305608592703143,1.2595202419076916,1.0944692213294573,0.716683426934975,0.7193565238811525,0.8235042923103593,0.7153252847436686,0.7182583118515912,0.8226149647527876
