Sample,Condition,Timepoint,Replicate,StandardizedReplicate
yH545.Scer.noPi.0m.rep1,noPi,0min,1,1
yH545.Scer.noPi.0m.rep2,noPi,0min,2,2
yH545.Scer.noPi.0m.rep3,noPi,0min,3,3
yH545.Scer.noPi.15m.rep1,noPi,15min,1,1
yH545.Scer.noPi.15m.rep2,noPi,15min,2,2
yH545.Scer.noPi.15m.rep3,noPi,15min,3,3
yH545.Scer.noPi.30m.rep1,noPi,30min,1,1
yH545.Scer.noPi.30m.rep2,noPi,30min,2,2
yH545.Scer.noPi.30m.rep3,noPi,30min,3,3
yH545.Scer.noPi.45m.rep1,noPi,45min,1,1
yH545.Scer.noPi.45m.rep2,noPi,45min,2,2
yH545.Scer.noPi.45m.rep3,noPi,45min,3,3
yH545.Scer.noPi.60m.rep1,noPi,1h,1,1
yH545.Scer.noPi.60m.rep2,noPi,1h,2,2
yH545.Scer.noPi.60m.rep3,noPi,1h,3,3
yH545.Scer.noPi.90m.rep1,noPi,1.5h,1,1
yH545.Scer.noPi.90m.rep2,noPi,1.5h,2,2
yH545.Scer.noPi.90m.rep3,noPi,1.5h,3,3
yH545.Scer.noPi.120m.rep1,noPi,2h,1,1
yH545.Scer.noPi.120m.rep2,noPi,2h,2,2
yH545.Scer.noPi.120m.rep3,noPi,2h,3,3
yH545.Scer.noPi.180m.rep1,noPi,3h,1,1
yH545.Scer.noPi.180m.rep2,noPi,3h,2,2
yH545.Scer.noPi.180m.rep3,noPi,3h,3,3
yH545.Scer.noPi.240m.rep1,noPi,4h,1,1
yH545.Scer.noPi.240m.rep2,noPi,4h,2,2
yH545.Scer.noPi.240m.rep3,noPi,4h,3,3
yH545.Scer.noPi.360m.rep1,noPi,6h,1,1
yH545.Scer.noPi.360m.rep2,noPi,6h,2,2
yH545.Scer.noPi.360m.rep3,noPi,6h,3,3
yH545.Scer.noPi.480m.rep1,noPi,8h,1,1
yH545.Scer.noPi.480m.rep2,noPi,8h,2,2
yH545.Scer.noPi.480m.rep3,noPi,8h,3,3
yH545.Scer.mock.30m.rep1,mock,30min,1,1
yH545.Scer.mock.30m.rep2,mock,30min,2,2
yH545.Scer.mock.30m.rep3,mock,30min,3,3
yH545.Scer.mock.60m.rep1,mock,1h,1,1
yH545.Scer.mock.60m.rep2,mock,1h,2,2
yH545.Scer.mock.60m.rep3,mock,1h,3,3
