"gene_id","species","expression_id","id_type","source_info","gene_name","hog_id","og_id"
"CAGL0A00143g","cg","CAGL0A00143g","CAGL0","original","","N1.HOG0000000","OG0000000"
"CAGL0A00165g","cg","CAGL0A00165g","CAGL0","original","","N1.HOG0004813","OG0004581"
"CAGL0A00187g","cg","CAGL0A00187g","CAGL0","original","","N1.HOG0001906","OG0001666"
"CAGL0A00209g","cg","CAGL0A00209g","CAGL0","original","","N1.HOG0001669","OG0001429"
"CAGL0A00231g","cg","CAGL0A00231g","CAGL0","original","","N1.HOG0004208","OG0003971"
"CAGL0A00253g","cg","CAGL0A00253g","CAGL0","original","","N1.HOG0002920","OG0002680"
"CAGL0A00275g","cg","CAGL0A00275g","CAGL0","original","","N1.HOG0002958","OG0002718"
"CAGL0A00297g","cg","CAGL0A00297g","CAGL0","original","","N1.HOG0003582","OG0003340"
"CAGL0A00319g","cg","CAGL0A00319g","CAGL0","original","","N1.HOG0002609","OG0002369"
"CAGL0A00341g","cg","CAGL0A00341g","CAGL0","original","","N1.HOG0003833","OG0003594"
"CAGL0A00363g","cg","CAGL0A00363g","CAGL0","original","","N1.HOG0001511","OG0001271"
"CAGL0A00385g","cg","CAGL0A00385g","CAGL0","original","","N1.HOG0002979","OG0002739"
"CAGL0A00407g","cg","CAGL0A00407g","CAGL0","original","SCL1","N1.HOG0003677","OG0003435"
"CAGL0A00429g","cg","CAGL0A00429g","CAGL0","original","ERG4","N1.HOG0000852","OG0000621"
"CAGL0A00451g","cg","CAGL0A00451g","CAGL0","original","PDR1","N1.HOG0000705","OG0000475"
"CAGL0A00473g","cg","CAGL0A00473g","CAGL0","original","","N1.HOG0000346","OG0000196"
"CAGL0A00495g","cg","CAGL0A00495g","CAGL0","original","PMA1","N1.HOG0000819","OG0000587"
"CAGL0A00517g","cg","CAGL0A00517g","CAGL0","original","","N1.HOG0002577","OG0002337"
"CAGL0A00539g","cg","CAGL0A00539g","CAGL0","original","","N1.HOG0001801","OG0001561"
"CAGL0A00561g","cg","CAGL0A00561g","CAGL0","original","","N1.HOG0004203","OG0003966"
"CAGL0A00583g","cg","CAGL0A00583g","CAGL0","original","","N1.HOG0004814","OG0004582"
"CAGL0A00605g","cg","CAGL0A00605g","CAGL0","original","","N1.HOG0002996","OG0002756"
"CAGL0A00627g","cg","CAGL0A00627g","CAGL0","original","","N1.HOG0000278","OG0000159"
"CAGL0A00649g","cg","CAGL0A00649g","CAGL0","original","",NA,NA
"CAGL0A00715g","cg","CAGL0A00715g","CAGL0","original","",NA,NA
"CAGL0A00737g","cg","CAGL0A00737g","CAGL0","original","","N1.HOG0000001","OG0000001"
"CAGL0A00781g","cg","CAGL0A00781g","CAGL0","original","","N1.HOG0003573","OG0003331"
"CAGL0A00803g","cg","CAGL0A00803g","CAGL0","original","","N1.HOG0003040","OG0002800"
"CAGL0A00825g","cg","CAGL0A00825g","CAGL0","original","","N1.HOG0000913","OG0000678"
"CAGL0A00847g","cg","CAGL0A00847g","CAGL0","original","","N1.HOG0004015","OG0003776"
"CAGL0A00869g","cg","CAGL0A00869g","CAGL0","original","EST2","N1.HOG0003751","OG0003512"
"CAGL0A00891g","cg","CAGL0A00891g","CAGL0","original","","N1.HOG0001930","OG0001690"
"CAGL0A00913g","cg","CAGL0A00913g","CAGL0","original","","N1.HOG0004446","OG0004210"
"CAGL0A00935g","cg","CAGL0A00935g","CAGL0","original","","N1.HOG0001913","OG0001673"
"CAGL0A00957g","cg","CAGL0A00957g","CAGL0","original","PEX23B","N1.HOG0005895","OG0005759"
"CAGL0A00979g","cg","CAGL0A00979g","CAGL0","original","","N1.HOG0001933","OG0001693"
"CAGL0A01001g","cg","CAGL0A01001g","CAGL0","original","","N1.HOG0003338","OG0003098"
"CAGL0A01023g","cg","CAGL0A01023g","CAGL0","original","","N1.HOG0001288","OG0001047"
"CAGL0A01045g","cg","CAGL0A01045g","CAGL0","original","","N1.HOG0000921","OG0000686"
"CAGL0A01067g","cg","CAGL0A01067g","CAGL0","original","","N1.HOG0003550","OG0003308"
"CAGL0A01089g","cg","CAGL0A01089g","CAGL0","original","","N1.HOG0004815","OG0004583"
"CAGL0A01111g","cg","CAGL0A01111g","CAGL0","original","","N1.HOG0004285","OG0004048"
"CAGL0A01133g","cg","CAGL0A01133g","CAGL0","original","","N1.HOG0000384","OG0000220"
"CAGL0A01155g","cg","CAGL0A01155g","CAGL0","original","","N1.HOG0003505","OG0003263"
"CAGL0A01177g","cg","CAGL0A01177g","CAGL0","original","","N1.HOG0003748","OG0003509"
"CAGL0A01193g","cg","CAGL0A01193g","CAGL0","original","","N1.HOG0005896","OG0005760"
